Prediction for the average column is 0.25628806812944105,column_name,aveage_val,initval,initval_predict_prob,finalval,finalval_predict_prob,final_minus_init
0,cc.emp.nojob,0.044998777207141114,0,0.25628806812944105,1,0.26518550402687696,0.008897435897435912
1,cc.CC16_304,0.9396806189703274,0.9396806189703274,0.25628806812944105,1.9396806189703275,0.42838569532824017,0.17209762719879912
2,cc.faminc,0.9330832316116233,0.9330832316116233,0.25628806812944105,1.9330832316116233,0.26479043180700756,0.008502363677566516
3,crashpc,0.8587735892548978,0.8587735892548978,0.25628806812944105,1.8587735892548978,0.2859482450161608,0.029660176886719736
4,rustpc,0.7205782078407172,0.7205782078407172,0.25628806812944105,1.7205782078407172,0.2810168299522378,0.024728761822796763
5,job.uer,0.9613650191084164,0.9613650191084164,0.25628806812944105,1.9613650191084164,0.26065739878457733,0.004369330655136283
6,econ.mhi,0.9709426336017648,0.9709426336017648,0.25628806812944105,1.9709426336017648,0.2621096925703446,0.005821624440903561
7,econ.hhpov.p,0.9132809117572313,0.9132809117572313,0.25628806812944105,1.9132809117572314,0.25288165011724884,-0.003406418012192214
8,taa.wrks.disc95.pcpy,0.6346131510264502,0.6346131510264502,0.25628806812944105,1.6346131510264503,0.25218406648653774,-0.00410400164290331
9,cc.CC16_305_2,0.1153093665932991,0,0.25628806812944105,1,0.29114094411839525,0.0348528759889542
10,mort.ucd.despair.disc95.pdpy,0.9634906753592036,0.9634906753592036,0.25628806812944105,1.9634906753592036,0.26490538492856897,0.008617316799127916
11,cc.immviewsum,0.8211144375890481,0.8211144375890481,0.25628806812944105,1.8211144375890482,0.46184926641302665,0.2055611982835856
12,cc.raceviewsum,0.936111910423443,0.936111910423443,0.25628806812944105,1.936111910423443,0.5292748405432921,0.27298677241385105
13,cc.CC16_307,0.9990904265627546,0.9990904265627546,0.25628806812944105,1.9990904265627547,0.29873801158942376,0.04244994345998271
14,cc.CC16_351B,0.5074590364392272,0.0,0.17692074840792302,1.0,0.25628806812944105,0.07936731972151803
15,cc.Age,1.0342216458421503,1.0342216458421503,0.25628806812944105,2.03422164584215,0.26106836373910347,0.004780295609662422
16,cc.Sex,0.5500366837857666,0,0.25159924740276457,1,0.25628806812944105,0.004688820726676479
17,cc.BlackDum,0.09728539985326486,0,0.25628806812944105,1,0.19020000524269942,-0.06608806288674163
18,cc.WhiteDum,0.7697481046710687,0,0.17279451463897563,1,0.25628806812944105,0.08349355349046542
19,cc.maxeduc.4yr,0.2495720224993886,0,0.25628806812944105,1,0.24467368038141482,-0.011614387748026228
20,cc.maxeduc.hs,0.22005380288579116,0,0.25628806812944105,1,0.2563263573708737,3.828924143267631e-05
21,cc.isimmigrant,0.1516996820738567,0,0.25628806812944105,1,0.24835719344856635,-0.007930874680874694
22,cc.child18,0.23171924675959893,0.0,0.25628806812944105,1.0,0.27051862555070305,0.014230557421262002
23,cc.union,0.28241623868916604,0.0,0.25628806812944105,1.0,0.2564404636266642,0.0001523954972231234
24,cc.newsint,0.7081982224623066,0.7081982224623066,0.25628806812944105,1.7081982224623067,0.27541473876404166,0.019126670634600607
25,cc.Ideo7,0.9171022870270429,0.9171022870270429,0.25628806812944105,1.9171022870270429,0.5151445253117342,0.2588564571822931
26,cc.EvanProt,0.2767913915382734,0.0,0.25628806812944105,1.0,0.2922735181792218,0.035985450049780765
27,cc.Catholic,0.22325752017608216,0.0,0.25628806812944105,1.0,0.27037870334585024,0.014090635216409186
28,cc.Religiosity,0.9199637983670402,0.9199637983670402,0.25628806812944105,1.9199637983670401,0.3288096360027968,0.07252156787335573
29,demo.popdense,0.2602228693703645,0.2602228693703645,0.25628806812944105,1.2602228693703645,0.2548959535541423,-0.001392114575298753
30,cc.RepDum,0.2728784543898264,0.0,0.25628806812944105,1.0,0.8164397704895738,0.5601517023601328
31,cc.IndDum,0.2607972609439961,0.0,0.25628806812944105,1.0,0.3974462760782428,0.14115820794880174
